镀种,电流密度档,温度,时间,质量
镀铬,低,34.0,33.6,OK
镀锌,高,42.2,38.0,烧焦
镀镍,中,23.5,28.6,OK
镀铬,高,40.8,28.7,烧焦
镀镍,高,37.9,13.6,烧焦
镀锌,高,26.0,27.9,OK
镀镍,低,25.6,28.0,OK
镀镍,高,37.4,24.6,烧焦
镀锌,中,15.1,19.3,镀层薄
镀铬,中,38.7,25.6,OK
镀镍,低,15.3,18.3,镀层薄
镀铬,高,28.3,16.0,OK
镀锌,中,36.9,21.9,OK
镀镍,中,43.4,19.2,针孔
镀镍,中,15.6,18.9,针孔
镀铬,中,33.7,15.0,OK
镀镍,中,28.0,33.3,烧焦
镀铬,低,40.5,26.9,OK
镀锌,中,40.4,7.7,镀层薄
镀锌,高,38.2,25.1,烧焦
镀锌,低,27.4,37.1,OK
镀锌,高,21.8,8.9,OK
镀铬,中,41.0,38.9,烧焦
镀镍,高,24.9,23.4,烧焦
镀镍,中,37.5,14.5,OK
镀锌,中,30.9,9.8,OK
镀镍,高,37.1,5.3,烧焦
镀锌,中,33.4,33.5,烧焦
镀铬,中,43.7,14.4,OK
镀锌,低,39.6,11.6,镀层薄
镀锌,中,16.2,13.3,针孔
镀锌,高,29.9,32.3,烧焦
镀铬,中,23.5,18.5,镀层薄
镀镍,中,28.3,19.0,镀层薄
镀锌,中,21.6,6.2,镀层薄
镀镍,低,37.7,8.4,镀层薄
镀锌,高,30.0,32.8,烧焦
镀锌,高,17.9,38.8,烧焦
镀镍,低,31.2,24.0,镀层薄
镀镍,低,24.1,35.0,OK
镀镍,中,39.1,11.8,镀层薄
镀铬,中,25.5,9.2,镀层薄
镀铬,高,23.4,33.8,烧焦
镀铬,中,25.5,15.1,镀层薄
镀锌,低,40.5,15.1,镀层薄
镀铬,高,25.7,13.9,OK
镀锌,高,31.5,30.8,烧焦
镀镍,高,25.0,11.3,OK
镀锌,高,20.3,33.3,烧焦
镀铬,低,24.3,25.7,镀层薄
镀铬,中,20.5,10.3,镀层薄
镀镍,高,19.9,23.6,烧焦
镀锌,低,33.4,26.3,镀层薄
镀镍,高,25.4,37.9,烧焦
镀锌,低,31.8,31.0,OK
镀铬,低,34.5,26.4,OK
镀铬,高,41.3,30.9,烧焦
镀锌,低,42.3,29.2,OK
镀铬,中,41.8,17.5,镀层薄
镀锌,低,18.4,24.3,镀层薄
镀锌,低,18.0,12.9,镀层薄
镀镍,中,25.1,22.7,镀层薄
镀锌,高,23.2,32.1,烧焦
镀铬,高,16.9,38.1,烧焦
镀锌,中,31.4,16.9,OK
镀铬,中,26.4,8.5,镀层薄
镀镍,低,36.6,34.9,OK
镀镍,中,36.1,11.9,镀层薄
镀铬,高,44.6,18.3,烧焦
镀铬,中,25.2,16.3,OK
镀镍,中,38.1,36.7,烧焦
镀铬,低,21.7,29.0,OK
镀锌,高,30.5,22.8,烧焦
镀锌,低,44.2,5.7,镀层薄
镀铬,中,27.1,11.5,镀层薄
镀锌,中,42.8,25.1,烧焦
镀镍,低,34.8,11.1,镀层薄
镀镍,高,22.7,9.9,OK
镀铬,低,28.4,35.5,OK
镀铬,低,38.8,17.3,镀层薄
镀锌,高,18.5,10.7,OK
镀铬,中,16.4,10.4,OK
镀锌,低,20.2,28.6,OK
镀铬,高,20.1,7.2,OK
镀镍,中,31.9,38.7,烧焦
镀铬,低,37.0,9.6,镀层薄
镀镍,中,23.5,23.1,OK
镀镍,低,44.5,18.9,镀层薄
镀铬,中,18.0,10.4,镀层薄
镀锌,低,40.8,37.8,OK
镀铬,中,25.1,8.7,镀层薄
镀锌,低,38.8,25.8,镀层薄
镀锌,低,37.2,32.1,OK
镀镍,高,18.9,19.4,针孔
镀镍,高,28.0,16.8,OK
镀镍,中,42.9,11.8,烧焦
镀锌,中,36.6,14.0,镀层薄
镀锌,高,22.1,31.3,烧焦
镀镍,低,20.4,32.1,OK
镀铬,高,22.2,34.0,烧焦
镀锌,高,15.4,16.4,OK
镀锌,低,15.1,33.2,针孔
镀镍,中,43.6,27.3,烧焦
镀锌,中,40.7,13.2,OK
镀镍,中,29.0,20.7,OK
镀铬,中,20.6,12.2,镀层薄
镀锌,低,29.6,5.7,镀层薄
镀镍,低,33.2,32.0,OK
镀锌,中,32.3,22.3,OK
镀镍,低,36.5,37.6,OK
镀铬,低,24.1,32.0,OK
镀锌,高,19.5,14.7,OK
镀铬,中,38.0,18.2,OK
镀锌,中,31.1,23.8,OK
镀铬,中,34.8,29.2,烧焦
镀镍,低,18.3,13.6,镀层薄
镀铬,高,25.8,33.3,烧焦
镀铬,低,42.2,24.3,针孔
镀铬,中,29.8,8.1,镀层薄
镀镍,高,33.5,35.9,烧焦
镀铬,中,15.8,34.2,OK
镀锌,低,23.9,23.0,OK
镀铬,中,44.7,7.3,镀层薄
镀镍,高,22.5,28.3,OK
镀铬,中,18.9,29.5,OK
镀镍,中,31.4,20.6,OK
镀锌,高,39.0,28.5,烧焦
镀铬,中,23.0,35.3,OK
镀铬,中,32.3,38.8,烧焦
镀锌,中,17.7,10.2,镀层薄
镀铬,高,19.2,18.1,OK
镀铬,中,35.5,17.6,OK
镀铬,低,16.9,39.6,OK
镀镍,高,16.6,15.7,OK
镀铬,中,44.0,39.3,烧焦
镀铬,高,28.6,25.3,烧焦
镀镍,中,22.8,31.9,OK
镀铬,中,35.5,7.2,镀层薄
镀镍,高,27.0,39.4,烧焦
镀镍,中,43.5,29.3,烧焦
镀铬,中,37.9,23.1,OK
镀铬,低,24.2,39.7,OK
镀铬,高,43.2,33.7,烧焦
镀锌,高,26.2,7.7,OK
镀锌,中,43.4,26.8,烧焦
镀锌,高,32.1,20.9,烧焦
镀锌,中,32.4,33.8,烧焦
镀镍,高,35.9,15.8,烧焦
镀铬,高,37.6,21.3,烧焦
镀锌,高,35.7,34.0,烧焦
镀锌,中,27.9,34.7,OK
镀铬,中,18.7,22.1,OK
镀锌,低,36.2,25.9,OK
镀镍,中,17.9,21.7,OK
镀铬,高,43.5,29.5,烧焦
镀锌,中,17.7,6.8,OK
镀铬,中,36.1,21.6,OK
镀锌,低,22.0,21.4,镀层薄
镀锌,中,44.7,5.8,镀层薄
镀锌,低,30.6,8.8,镀层薄
镀镍,高,18.4,36.4,烧焦
镀锌,低,32.6,25.1,OK
镀锌,高,22.4,33.1,烧焦
镀镍,中,24.6,34.4,OK
镀锌,中,38.1,16.9,OK
镀铬,低,23.0,20.2,OK
镀锌,高,25.3,8.5,OK
镀镍,高,16.0,27.3,OK
镀镍,低,16.6,25.8,镀层薄
镀铬,高,29.4,34.0,烧焦
镀铬,高,29.0,24.9,烧焦
镀镍,低,24.6,38.4,OK
镀锌,低,36.1,35.5,OK
镀镍,中,42.9,31.0,烧焦
镀铬,中,22.5,17.0,镀层薄
镀镍,高,22.3,39.1,烧焦
镀锌,低,29.7,32.3,OK
镀铬,中,26.0,14.1,OK
镀铬,中,19.9,29.8,OK
镀铬,高,33.6,5.5,烧焦
镀锌,中,28.0,11.8,镀层薄
镀铬,低,28.6,35.5,OK
镀铬,低,35.8,32.7,OK
镀铬,中,25.0,21.2,OK
镀镍,中,19.0,34.0,针孔
镀镍,低,21.5,35.7,OK
镀镍,低,36.8,16.8,镀层薄
镀锌,低,40.0,34.9,OK
镀镍,低,17.8,26.6,镀层薄
镀锌,低,43.8,10.2,镀层薄
镀镍,高,23.2,39.7,OK
镀镍,低,34.2,6.4,镀层薄
镀锌,中,24.7,21.3,OK
镀锌,高,30.8,34.2,烧焦
镀锌,中,18.8,8.9,OK
镀锌,低,30.7,37.8,OK
镀镍,中,40.7,26.8,烧焦
镀镍,中,16.6,34.0,OK
镀铬,低,42.2,6.8,镀层薄
镀铬,高,43.0,22.1,烧焦
镀锌,中,37.9,14.5,OK
镀铬,中,15.8,8.2,镀层薄
镀铬,中,15.2,39.2,OK
镀铬,低,16.9,31.8,针孔
镀锌,低,30.2,25.1,镀层薄
镀铬,中,15.8,12.2,针孔
镀锌,中,16.5,29.9,OK
镀铬,高,22.5,26.0,烧焦
镀锌,高,35.5,10.8,烧焦
镀锌,低,41.5,35.5,针孔
镀锌,低,17.6,38.2,针孔
镀铬,低,34.6,7.8,镀层薄
镀锌,高,33.4,36.7,烧焦
镀镍,低,24.9,21.7,OK
镀锌,中,15.7,24.4,针孔
镀锌,中,25.4,25.4,烧焦
镀铬,低,15.3,27.5,针孔
镀铬,低,42.3,11.2,镀层薄
镀铬,低,35.8,26.4,OK
镀镍,高,24.8,39.0,烧焦
镀锌,中,16.8,17.0,针孔
