材料,壁厚,料筒温度,注射压力,保压时间,模具温度,质量
PC,1.2,239.3,64.5,8.5,26.1,缩水
PC,3.7,187.0,82.2,5.7,33.1,短射
PC,2.7,224.9,111.6,22.5,45.2,飞边
ABS,2.7,244.8,40.6,25.1,61.9,无
ABS,1.7,197.2,116.3,7.6,42.8,飞边
ABS,3.5,228.3,120.7,23.2,52.2,短射
ABS,1.1,203.5,102.9,27.1,41.7,飞边
PP,3.1,183.7,62.8,12.2,24.8,短射
PP,3.6,210.4,85.3,25.9,29.8,短射
ABS,1.5,201.4,133.7,21.2,56.5,飞边
PP,2.5,199.6,86.2,11.7,75.5,翘曲
PC,2.6,234.8,124.3,24.4,33.7,飞边
PP,3.4,212.1,46.6,27.8,54.0,短射
PC,1.8,232.4,79.6,27.9,47.5,无
ABS,1.2,239.6,93.9,23.7,45.7,飞边
PC,2.1,197.5,139.8,17.7,25.5,飞边
PP,3.6,192.2,56.0,22.0,55.8,短射
ABS,2.0,259.7,92.9,29.3,71.6,翘曲
PP,3.0,189.2,128.5,23.8,66.1,飞边
ABS,1.2,214.8,85.4,28.8,72.6,短射
ABS,3.9,241.0,90.8,7.7,57.5,缩水
PC,2.4,195.9,77.4,9.0,77.2,短射
PC,3.7,227.9,88.9,7.8,41.8,缩水
ABS,1.6,199.3,96.7,7.0,63.9,短射
PP,3.9,222.6,52.6,21.5,76.8,翘曲
PP,1.6,249.8,82.3,10.3,52.4,无
PC,3.0,237.0,79.9,21.8,42.4,无
PC,2.2,199.8,46.4,5.5,53.2,短射
PC,1.5,185.7,103.1,10.7,74.3,短射
ABS,1.0,199.0,106.9,10.4,27.9,飞边
PC,2.6,199.4,87.3,15.2,25.7,短射
PC,2.2,213.9,86.7,23.2,60.4,短射
PC,1.1,212.2,73.9,26.5,34.9,短射
PP,2.5,191.2,58.3,16.6,72.5,翘曲
PP,2.2,248.9,95.0,6.3,80.0,翘曲
PP,3.9,254.1,124.9,9.2,49.1,飞边
PP,3.6,252.2,56.5,5.1,43.4,缩水
ABS,1.7,235.7,113.1,24.6,59.7,飞边
ABS,1.3,203.7,136.9,19.5,52.5,飞边
PC,1.8,184.0,87.7,28.0,51.9,短射
PP,3.9,186.4,58.6,19.9,60.5,短射
PP,2.1,255.3,97.0,19.5,22.4,飞边
PP,2.1,226.7,92.3,28.4,32.3,无
PC,1.8,201.2,53.1,21.1,47.4,短射
PP,0.8,229.7,96.3,7.5,52.3,飞边
PC,1.6,254.7,128.1,27.0,42.2,飞边
PP,2.2,223.5,70.3,29.6,68.4,翘曲
PC,0.8,245.4,69.9,21.6,76.3,翘曲
PP,1.6,251.2,114.2,8.9,36.9,飞边
PP,3.1,196.3,103.4,11.6,49.3,短射
PP,1.1,213.9,67.7,5.1,66.3,翘曲
PC,3.9,192.9,84.2,22.6,53.7,短射
PP,1.0,250.6,130.4,18.6,70.1,飞边
PC,2.6,214.4,44.2,14.1,76.0,短射
PP,3.7,196.8,65.0,7.6,66.8,短射
ABS,3.9,240.0,132.6,10.9,29.8,短射
PP,3.6,182.0,113.7,13.3,75.8,短射
PC,3.6,244.9,66.7,24.7,26.5,无
PP,3.5,197.8,121.7,16.5,38.3,短射
PP,1.5,232.8,79.8,12.0,24.2,无
ABS,1.9,220.8,108.0,26.1,39.9,飞边
PP,1.2,257.6,57.9,29.1,35.9,无
PP,2.7,207.7,118.6,15.9,79.1,翘曲
PP,2.0,226.1,65.5,22.7,20.1,无
PC,3.0,255.2,113.7,9.9,45.9,缩水
PC,3.7,229.9,106.3,8.1,74.0,短射
PC,1.8,212.7,80.2,12.4,27.6,短射
ABS,2.9,210.3,114.8,9.4,54.1,短射
ABS,2.6,180.0,68.7,15.7,54.8,短射
PC,1.8,215.3,107.6,17.8,67.6,飞边
PC,1.3,186.8,91.5,20.8,40.1,短射
PP,3.0,198.0,59.9,5.6,34.7,短射
ABS,2.8,241.5,85.5,27.2,54.5,无
PC,3.0,219.6,64.4,21.4,20.3,短射
PP,3.3,197.5,120.4,22.4,47.9,短射
PC,1.6,247.9,85.6,25.0,60.1,无
PC,2.7,256.0,129.1,20.3,63.2,飞边
PC,2.2,252.5,84.6,9.0,71.7,翘曲
ABS,1.6,199.8,103.8,24.1,51.3,短射
PC,1.6,215.2,111.4,10.9,40.2,飞边
PC,1.1,192.1,78.3,8.8,32.8,短射
ABS,2.1,223.4,81.6,10.2,45.2,缩水
PC,3.8,181.6,128.1,19.4,48.6,短射
ABS,1.8,211.2,129.2,25.9,52.3,飞边
PC,2.5,228.3,62.1,10.5,46.2,缩水
PP,2.0,233.5,119.8,23.1,70.4,飞边
PP,3.9,222.7,130.7,19.8,59.8,飞边
PP,2.9,190.9,86.2,6.3,42.7,短射
PP,2.3,207.0,128.0,12.0,77.1,飞边
ABS,1.6,186.6,41.9,18.5,80.0,短射
ABS,1.5,185.5,135.7,6.0,21.9,飞边
PP,1.4,181.6,55.2,8.2,60.2,短射
PC,3.8,217.2,65.6,14.2,56.4,短射
PC,3.1,242.2,56.4,12.8,54.7,缩水
ABS,2.6,252.6,77.5,28.5,31.9,无
PC,3.0,230.2,50.2,24.3,71.0,翘曲
PC,3.4,243.7,96.6,6.0,52.0,缩水
PC,2.0,220.5,74.1,26.2,69.3,短射
PP,2.2,209.0,129.2,16.5,29.2,飞边
PP,3.1,257.2,67.0,25.2,52.3,翘曲
ABS,2.3,246.1,99.2,13.1,34.7,无
PP,1.7,216.1,115.0,19.2,60.1,飞边
ABS,0.9,248.1,58.2,10.3,67.9,缩水
ABS,1.7,227.7,128.0,18.9,51.0,飞边
PP,1.1,237.6,88.9,24.0,61.4,飞边
PC,3.1,215.9,41.7,12.4,44.3,短射
PP,1.8,226.5,87.3,18.3,45.5,飞边
PC,2.6,208.1,85.4,12.7,33.8,短射
PC,1.4,189.6,93.6,24.1,31.1,短射
PP,3.2,202.1,99.0,24.0,55.8,短射
PP,3.5,203.7,76.1,12.6,62.5,短射
PP,1.7,257.9,95.3,22.4,27.6,飞边
ABS,1.1,181.0,68.4,17.0,40.4,短射
PP,1.6,248.9,51.4,6.6,49.5,缩水
PC,2.8,184.3,54.9,19.1,38.2,短射
PP,1.2,241.2,100.6,24.8,33.5,飞边
PC,2.0,252.7,69.7,19.7,45.7,无
PC,2.8,228.8,114.0,28.7,32.5,飞边
PP,1.6,186.5,64.0,18.8,29.4,短射
ABS,2.2,227.5,69.1,10.8,62.4,缩水
PC,3.6,185.7,63.3,11.6,67.5,短射
PC,2.9,254.7,82.5,18.6,58.9,无
ABS,3.4,185.7,56.6,12.7,64.9,短射
PC,3.7,215.1,86.9,12.6,44.2,短射
ABS,2.4,219.5,48.0,6.0,45.9,短射
ABS,2.7,182.1,62.9,21.9,71.6,短射
PC,3.8,260.0,107.2,11.7,22.4,无
PP,2.3,232.1,131.6,9.5,55.1,飞边
PC,3.4,257.5,87.0,15.2,39.3,无
PP,3.5,206.4,109.4,12.2,76.7,翘曲
PC,0.9,187.0,65.2,7.9,66.4,短射
PC,3.4,180.1,126.9,16.5,23.3,短射
PC,2.0,240.5,102.5,24.0,32.2,飞边
PC,1.2,203.0,128.1,17.1,21.7,飞边
PC,2.7,199.1,55.8,18.8,53.1,短射
PP,1.5,247.3,51.3,28.7,58.9,翘曲
PP,2.4,237.3,90.9,11.8,70.1,翘曲
ABS,1.6,224.1,78.4,28.0,50.5,无
PP,3.6,202.1,119.0,15.4,76.1,短射
PC,1.7,180.2,112.6,25.9,54.8,短射
PC,2.4,191.9,93.9,13.6,53.1,短射
PC,2.0,254.6,127.0,29.5,34.3,飞边
ABS,1.5,242.0,44.4,23.6,62.3,翘曲
ABS,2.0,233.1,122.1,29.5,49.7,飞边
PP,1.2,257.2,73.2,7.5,70.7,翘曲
PP,2.5,216.6,112.2,15.2,59.3,翘曲
PP,1.0,242.5,66.5,20.6,43.8,无
PP,3.5,248.2,125.9,14.5,39.0,飞边
PC,3.6,219.0,94.1,20.4,34.1,短射
PC,3.7,259.8,114.7,15.8,25.9,无
PC,3.1,188.0,56.6,12.5,21.7,短射
ABS,3.3,203.5,77.5,8.6,51.9,短射
PC,3.0,194.4,57.5,20.2,43.0,短射
PC,1.6,253.0,54.3,16.5,35.2,缩水
ABS,2.9,251.9,86.5,12.2,52.8,缩水
PP,2.2,207.6,98.8,21.0,45.5,飞边
ABS,2.3,204.2,139.9,26.3,26.4,飞边
ABS,2.6,226.0,139.3,12.4,78.7,飞边
PC,2.1,180.6,126.5,24.5,78.4,短射
PC,3.2,246.6,130.3,24.4,33.8,飞边
ABS,1.5,195.2,65.1,23.9,66.0,短射
PC,3.5,230.3,130.3,21.2,38.5,飞边
ABS,0.9,209.2,53.1,27.7,39.6,短射
ABS,1.4,190.6,93.9,29.3,51.9,短射
ABS,3.5,200.6,122.5,17.0,68.4,短射
PC,3.6,244.3,86.8,6.9,65.2,缩水
PP,3.6,237.9,138.0,29.2,68.3,飞边
ABS,1.1,211.6,66.4,8.1,42.1,缩水
PC,3.0,226.8,122.2,28.5,26.5,飞边
PP,2.3,229.6,134.3,13.2,56.6,飞边
PC,1.0,245.9,130.9,12.6,44.5,飞边
PP,0.9,183.0,139.6,7.9,34.1,飞边
PC,1.2,216.3,107.0,23.6,76.8,飞边
ABS,2.7,238.1,128.5,21.4,70.0,飞边
PC,2.1,256.1,43.3,14.3,46.6,无
PP,3.5,187.9,108.6,18.6,78.7,短射
ABS,1.0,202.1,136.8,28.7,69.5,飞边
PP,2.9,231.3,99.7,5.5,67.2,翘曲
PP,4.0,243.0,60.5,25.7,53.3,翘曲
PC,1.5,249.6,72.9,8.7,74.0,翘曲
PP,1.7,258.7,138.8,18.5,67.9,飞边
PP,2.9,182.1,41.5,24.7,34.3,短射
ABS,0.9,201.2,52.7,15.5,26.8,短射
PP,2.3,242.2,91.3,7.7,50.2,缩水
PC,0.9,242.7,126.7,18.0,47.5,飞边
PP,1.0,218.3,80.2,22.2,49.4,无
ABS,1.0,186.5,100.8,6.6,36.5,短射
PC,2.7,237.0,78.1,19.9,37.7,无
PC,2.7,187.9,110.2,26.3,59.1,短射
PC,3.1,197.2,85.2,10.7,40.3,短射
ABS,2.1,238.4,71.3,12.8,35.3,缩水
PP,3.0,217.9,49.1,7.1,45.9,缩水
PC,3.2,244.9,95.6,19.7,53.7,无
ABS,2.9,212.9,127.4,28.5,45.4,飞边
PC,1.0,203.0,71.2,7.6,50.4,短射
PP,2.9,197.9,50.8,26.1,42.1,短射
ABS,2.6,244.6,124.5,29.4,69.1,飞边
PC,3.0,224.5,100.9,21.4,61.6,短射
PP,1.4,236.2,70.9,13.5,20.4,无
PP,2.6,212.1,54.2,20.8,21.8,无
PC,2.5,210.1,85.4,8.9,38.7,短射
ABS,3.3,225.4,48.5,6.3,29.4,短射
PC,1.0,186.5,84.3,15.6,56.4,短射
ABS,1.7,240.4,51.4,15.7,37.0,无
PC,2.7,222.2,70.8,10.5,79.1,翘曲
PP,0.8,204.1,61.1,8.4,35.3,缩水
ABS,1.2,219.8,83.1,8.2,52.0,飞边
PP,2.4,246.7,120.6,6.8,71.7,飞边
PP,2.2,216.8,47.8,12.8,45.8,无
ABS,3.1,213.4,51.5,5.5,39.5,短射
PC,2.3,235.2,76.2,15.9,26.4,无
ABS,2.7,221.9,79.6,12.8,40.4,短射
ABS,3.3,186.1,103.3,18.3,31.6,短射
ABS,1.9,256.7,104.5,8.7,26.2,飞边
ABS,1.4,228.2,116.0,21.4,30.6,飞边
PC,2.4,240.4,116.0,16.2,75.4,翘曲
PC,2.9,258.9,72.3,29.3,39.0,无
ABS,1.0,215.4,70.3,11.9,23.4,短射
PC,1.0,216.9,43.8,14.2,37.2,无
PC,3.6,248.4,101.5,17.7,47.8,无
PC,3.9,239.1,44.1,27.7,54.3,短射
PP,1.8,218.1,55.1,6.5,26.2,缩水
ABS,3.9,186.7,104.6,6.0,62.5,短射
ABS,2.5,228.8,76.4,27.9,43.2,短射
ABS,3.0,184.2,103.1,13.4,39.8,短射
PC,3.0,202.7,112.4,21.4,74.4,短射
PP,1.9,226.6,54.1,13.7,78.1,翘曲
PC,2.9,190.3,110.9,7.1,53.5,短射
PC,3.3,245.1,107.0,25.7,64.3,飞边
PC,3.7,187.5,107.0,17.7,21.1,短射
ABS,1.4,197.1,134.8,17.2,33.6,飞边
PP,1.3,203.7,118.8,17.7,52.4,飞边
PC,3.6,183.0,73.7,24.2,27.9,短射
ABS,1.3,194.5,109.3,20.6,74.2,短射
PC,2.2,212.9,107.6,10.9,46.7,飞边
ABS,3.2,242.7,63.4,11.0,77.9,翘曲
ABS,3.7,195.5,107.8,19.3,46.4,短射
ABS,3.3,220.2,81.9,9.1,32.0,短射
PC,1.2,200.0,104.1,26.9,53.3,飞边
PP,3.1,221.3,52.5,7.1,29.6,缩水
ABS,3.7,191.8,83.7,28.7,33.3,短射
ABS,3.6,254.4,81.5,14.9,42.4,无
ABS,4.0,210.0,42.8,28.3,70.4,短射
PC,1.9,191.7,43.8,27.9,48.3,短射
PP,3.2,217.5,101.5,27.6,21.1,无
PP,3.5,223.9,112.7,18.2,26.7,无
ABS,1.6,189.7,63.8,21.0,57.4,短射
PP,1.2,252.4,99.7,5.4,50.9,飞边
PP,3.1,203.3,40.2,13.8,54.2,短射
PP,2.9,186.8,137.5,6.7,51.6,短射
PC,3.3,220.6,42.0,26.8,22.6,短射
ABS,3.9,200.3,41.6,24.7,40.7,短射
PC,2.9,188.3,98.2,23.9,28.0,短射
ABS,2.5,245.1,57.5,24.5,47.9,无
PC,2.3,194.6,53.5,22.9,76.6,短射
PP,1.7,183.5,59.9,6.0,76.0,翘曲
PC,2.1,245.2,87.3,5.9,58.8,缩水
ABS,1.9,242.5,126.6,13.3,27.5,飞边
ABS,2.2,212.0,84.0,28.9,40.3,短射
PP,2.4,219.8,132.4,18.0,68.1,飞边
PC,2.2,214.4,139.5,9.5,37.6,飞边
PP,1.1,232.9,70.6,20.1,45.6,无
PC,2.2,215.8,112.7,27.8,56.9,飞边
ABS,1.7,258.4,134.8,6.9,58.3,飞边
ABS,2.4,240.0,56.0,5.8,70.9,缩水
PC,3.3,182.8,46.7,24.5,42.0,短射
ABS,3.8,182.6,55.3,16.2,42.3,短射
ABS,3.2,225.9,92.9,15.0,59.0,短射
PP,3.9,182.1,58.6,17.9,74.8,短射
PP,1.6,200.8,84.6,29.9,37.1,无
ABS,1.4,190.9,47.4,9.3,62.8,短射
PP,3.4,257.4,138.7,21.7,62.6,飞边
PC,2.5,251.3,125.1,22.8,75.6,飞边
PC,1.4,208.9,62.4,29.6,67.5,短射
PP,3.3,182.1,95.4,14.2,68.2,短射
PC,1.2,250.7,46.6,15.0,63.0,缩水
ABS,2.5,241.5,122.3,6.8,78.3,飞边
PC,1.0,217.3,91.7,8.2,69.7,飞边
PC,2.8,194.6,136.6,15.8,74.6,短射
PP,3.5,221.4,70.4,9.0,76.1,翘曲
PP,1.9,255.3,129.5,26.1,35.0,飞边
PC,3.9,202.0,102.5,20.4,25.6,短射
PC,1.3,255.3,55.4,21.5,63.2,无
PC,1.9,253.9,44.1,26.6,24.9,无
PC,3.3,201.2,61.1,19.3,57.1,短射
PP,2.4,230.2,69.0,28.9,49.0,无
PC,2.1,216.3,108.9,9.0,44.9,飞边
ABS,1.5,228.5,71.3,23.0,64.1,无
ABS,3.9,190.5,77.1,19.0,39.1,短射
ABS,1.2,216.0,54.1,6.3,76.7,翘曲
PC,2.1,257.0,130.2,25.3,76.0,飞边
PC,1.8,241.0,89.8,17.9,49.9,飞边
ABS,2.4,187.2,79.3,16.4,34.4,短射
PC,1.9,184.0,89.5,27.1,59.3,短射
ABS,1.7,180.7,50.7,8.3,35.9,短射
ABS,3.2,209.3,80.1,19.3,31.7,短射
PC,1.7,210.9,85.0,18.7,69.5,短射
PC,3.0,189.5,137.5,14.8,67.7,短射
ABS,2.6,209.2,54.4,20.1,44.1,短射
PP,0.9,191.0,73.3,16.8,47.4,短射
PC,3.7,191.2,133.1,13.0,43.6,短射
PC,3.2,203.9,73.6,25.7,51.9,短射
PC,2.6,218.0,41.7,13.3,26.6,短射
ABS,2.7,243.7,112.5,22.2,21.6,飞边
ABS,1.6,232.4,137.2,19.5,33.7,飞边
PP,2.7,193.6,102.9,20.5,70.5,翘曲
PP,3.4,199.4,97.3,22.5,31.4,短射
ABS,1.8,192.1,109.1,15.3,66.5,短射
ABS,3.6,238.9,46.2,8.5,32.4,缩水
ABS,4.0,218.3,77.7,28.9,47.6,短射
PC,1.9,208.3,117.2,23.0,58.6,飞边
PC,1.6,218.7,135.7,12.0,37.9,飞边
ABS,3.3,236.4,109.0,17.2,48.8,无
PC,3.8,243.6,67.3,8.0,60.6,缩水
ABS,3.7,211.6,74.5,24.3,28.8,短射
PP,1.7,237.1,74.6,16.1,35.4,无
ABS,1.5,246.2,67.1,19.1,36.3,无
PP,2.8,226.9,64.2,21.7,51.9,无
PC,1.5,188.0,73.0,16.8,60.9,短射
PP,0.8,224.0,132.9,15.2,76.1,飞边
ABS,2.3,196.0,136.4,13.0,58.8,飞边
PP,2.9,198.6,113.9,26.3,22.2,短射
PP,2.1,247.0,133.4,5.9,70.2,翘曲
ABS,1.4,239.9,127.2,12.2,22.2,飞边
ABS,2.6,188.6,138.3,12.1,79.3,短射
PC,2.5,251.1,53.4,17.6,36.4,无
PP,1.9,238.5,104.8,23.0,20.8,飞边
ABS,3.3,225.4,115.7,9.4,71.4,短射
ABS,3.4,221.2,48.7,21.7,31.1,短射
PP,2.3,254.9,40.7,14.6,46.8,无
ABS,3.9,204.2,112.3,5.3,59.2,短射
PC,1.6,233.4,86.5,9.0,61.2,无
PC,3.3,235.2,103.9,28.5,42.1,无
PP,1.5,190.7,55.3,23.7,56.3,短射
ABS,3.0,253.0,115.7,25.0,69.5,翘曲
PP,3.0,227.7,118.7,18.1,51.7,飞边
ABS,1.0,225.1,46.2,18.7,50.3,无
PC,2.5,193.2,125.4,16.0,60.8,短射
PC,2.7,187.3,91.0,25.2,47.2,短射
PC,2.1,225.1,95.9,21.8,38.5,飞边
PP,2.1,245.3,114.6,19.5,22.7,飞边
ABS,3.0,223.3,46.0,27.4,79.2,短射
ABS,0.9,212.7,116.9,24.1,78.7,飞边
PC,3.9,210.0,129.1,16.2,75.0,短射
ABS,2.0,234.6,106.2,18.5,59.2,飞边
ABS,1.2,259.4,79.3,8.2,78.7,翘曲
PP,3.2,258.3,86.3,23.0,45.4,无
ABS,3.4,199.8,74.6,11.9,76.2,短射
PC,3.2,182.6,106.0,20.4,76.2,短射
PP,1.6,185.4,99.4,16.2,60.3,短射
PP,1.6,183.5,83.9,18.5,65.3,短射
PP,1.2,259.5,63.4,27.9,54.6,翘曲
PC,2.7,233.8,72.1,12.5,28.6,缩水
PC,2.5,213.1,67.5,18.9,55.5,短射
PC,3.7,230.1,82.7,17.4,78.3,翘曲
PC,2.9,242.9,71.9,15.4,29.0,无
ABS,1.4,223.0,64.1,10.6,71.5,缩水
PP,3.4,253.2,96.2,29.2,53.4,无
PP,2.0,200.4,73.0,7.0,47.0,短射
ABS,1.1,238.0,59.0,11.7,60.4,翘曲
PC,0.9,185.8,120.5,19.7,60.3,飞边
PP,2.3,249.6,73.3,28.9,20.9,无
PP,3.9,189.4,140.0,17.0,34.6,短射
PC,3.1,211.7,63.9,13.0,37.0,短射
ABS,2.5,208.7,66.2,17.8,49.8,短射
PP,3.4,237.8,116.2,13.0,32.2,无
ABS,2.1,225.0,62.1,8.6,35.6,缩水
PC,2.7,213.4,55.2,13.2,42.8,短射
PP,2.4,232.4,108.5,11.4,69.3,翘曲
PC,2.9,219.2,56.8,24.9,30.2,短射
PC,2.5,194.7,128.9,29.8,77.4,短射
PC,0.9,247.7,134.5,21.7,65.9,飞边
ABS,1.2,230.5,46.8,8.8,33.1,无
ABS,2.0,229.4,106.7,20.4,49.0,飞边
ABS,0.9,222.6,81.1,5.4,63.3,飞边
PC,3.9,181.4,121.3,21.9,68.4,短射
PP,1.1,187.7,54.9,9.8,51.6,短射
ABS,1.7,211.8,77.3,15.2,53.9,短射
PC,1.5,234.7,124.8,21.3,71.5,飞边
PP,1.1,210.3,95.3,6.4,20.6,飞边
PP,1.1,247.6,104.5,13.3,78.6,飞边
PP,3.7,253.5,63.0,27.5,61.5,翘曲
PC,2.3,183.7,47.4,28.1,74.0,短射
PC,2.9,194.3,125.0,5.4,32.4,短射
PP,3.2,237.0,79.8,6.9,29.7,缩水
PP,2.6,248.0,107.7,18.5,43.0,飞边
PC,1.2,259.1,112.4,17.5,78.5,飞边
PP,1.1,198.6,47.6,20.1,56.8,短射
PC,2.1,241.9,43.0,11.8,79.6,翘曲
ABS,1.5,224.2,77.5,9.6,55.2,缩水
ABS,1.1,229.5,119.8,22.8,24.9,飞边
PP,2.0,242.7,55.4,14.7,41.6,无
PP,0.8,204.7,76.0,11.7,28.0,无
PP,2.2,224.6,91.2,7.6,25.4,缩水
PC,1.1,227.8,72.4,14.6,37.5,无
ABS,3.3,238.0,96.0,29.8,34.6,无
PC,1.3,210.5,53.9,12.5,49.6,短射
PP,1.3,202.1,70.0,24.6,41.7,无
PP,3.1,219.7,101.7,16.4,28.1,无
PP,3.8,206.6,102.0,25.1,39.8,短射
ABS,2.2,245.9,105.1,19.9,38.0,飞边
PC,3.8,196.1,71.4,29.1,78.1,短射
ABS,3.2,230.6,136.8,24.5,39.6,飞边
ABS,3.4,211.4,51.4,19.1,55.5,短射
PC,1.4,241.4,42.7,23.2,76.6,翘曲
PP,2.2,203.3,109.3,25.5,67.7,翘曲
ABS,3.0,191.1,70.3,11.3,29.2,短射
ABS,3.3,185.9,139.1,17.0,44.0,短射
PC,3.8,249.6,81.8,5.9,78.1,翘曲
PC,3.7,223.0,103.8,7.1,66.1,缩水
PC,2.9,193.3,101.3,19.1,58.7,短射
PC,2.1,240.2,136.6,15.8,20.6,飞边
ABS,1.5,239.7,95.8,22.2,33.3,飞边
ABS,2.1,241.8,98.9,17.5,40.7,无
PP,2.3,203.6,132.1,7.1,69.9,飞边
PC,1.3,205.0,85.5,10.2,49.0,短射
ABS,1.1,237.8,85.2,6.7,22.7,飞边
PC,1.2,247.9,104.8,21.9,29.9,飞边
PC,1.6,194.0,56.0,19.0,77.5,短射
PP,3.4,230.4,58.6,21.4,43.7,无
PC,2.8,195.8,99.2,14.7,62.3,短射
PP,1.7,236.3,119.6,19.4,68.0,飞边
PC,1.4,206.1,85.8,11.6,71.8,短射
PC,3.9,205.1,78.9,14.8,26.9,短射
ABS,3.5,229.4,121.4,22.6,37.8,短射
PC,2.7,233.8,71.3,11.0,27.0,缩水
ABS,3.0,220.9,81.8,8.4,43.0,短射
PP,2.4,223.0,131.9,28.3,30.4,飞边
PP,2.4,191.2,71.5,16.3,23.2,短射
ABS,3.8,218.8,59.5,14.6,53.7,短射
PC,2.4,234.8,81.6,26.0,49.3,无
PP,2.6,243.7,62.1,5.8,33.5,缩水
ABS,1.3,216.6,114.3,24.1,53.0,飞边
PP,2.6,201.4,94.3,29.8,52.5,短射
PP,3.2,215.3,61.9,15.6,64.2,翘曲
PC,3.2,203.8,139.9,16.2,40.9,短射
PP,2.2,259.5,117.6,10.9,68.6,飞边
PC,3.0,248.9,101.0,15.7,57.0,无
PP,3.4,244.4,97.0,18.3,55.8,翘曲
PP,1.8,236.3,68.9,11.7,71.5,翘曲
PC,3.4,190.8,115.0,15.3,23.6,短射
ABS,3.6,190.2,126.6,11.2,62.7,短射
PP,3.2,234.1,88.9,19.4,36.1,无
ABS,2.0,186.0,119.5,24.2,44.2,短射
PC,1.7,254.9,76.9,28.8,39.6,无
PP,3.6,247.8,49.3,29.3,58.1,翘曲
PC,1.9,185.1,93.4,10.4,45.8,短射
PP,2.4,205.8,68.4,18.7,27.8,短射
ABS,3.3,251.5,116.2,6.1,57.6,缩水
ABS,0.9,254.4,55.8,16.4,79.5,翘曲
ABS,1.4,235.1,53.2,21.2,29.5,无
ABS,1.1,208.8,48.2,21.6,58.9,短射
PP,2.1,204.4,109.9,10.9,59.3,飞边
PC,1.1,197.1,47.8,19.8,51.2,短射
ABS,0.8,235.6,121.7,29.7,45.3,飞边
PP,2.3,198.3,48.9,25.1,26.2,短射
ABS,3.6,191.0,117.3,23.8,28.0,短射
PC,1.3,222.4,40.8,21.3,46.4,无
PC,1.5,239.9,132.0,20.4,46.5,飞边
PP,1.1,188.0,115.2,19.7,43.0,飞边
ABS,1.8,191.2,67.7,7.1,53.2,短射
PC,3.1,202.8,134.1,5.7,70.8,短射
ABS,1.5,228.6,58.9,14.8,58.8,翘曲
PP,2.4,189.0,90.0,19.8,51.7,短射
PP,4.0,254.7,53.2,26.5,54.1,无
ABS,2.5,193.8,87.1,29.7,24.4,短射
PC,1.0,201.0,44.0,6.5,67.4,短射
PC,1.7,237.0,116.7,15.6,44.1,飞边
PC,2.5,229.3,67.7,12.7,50.7,缩水
PP,3.9,192.4,72.7,19.7,65.8,短射
PC,3.0,185.3,109.9,23.2,70.8,短射
PP,1.6,254.0,51.6,20.3,23.3,无
PC,3.2,239.3,51.9,22.7,62.1,无
PP,2.4,207.7,91.7,25.6,35.6,无
ABS,1.2,242.5,66.9,27.2,66.3,翘曲
PP,1.9,214.3,92.4,11.6,78.5,翘曲
PC,1.0,216.4,76.0,17.5,54.0,无
ABS,1.3,241.9,129.4,21.9,26.9,飞边
PC,2.4,183.5,126.3,11.1,48.3,短射
ABS,3.7,194.3,136.0,5.9,68.2,短射
PC,3.2,213.5,72.2,15.4,63.2,短射
ABS,3.4,225.7,51.9,21.8,23.2,短射
PP,3.4,258.5,135.4,6.7,47.9,飞边
ABS,3.3,204.9,48.6,16.4,42.1,短射
ABS,2.6,204.3,102.3,16.6,55.5,短射
ABS,4.0,242.1,113.2,18.7,67.8,翘曲
PP,0.8,212.8,63.3,13.7,70.4,翘曲
PP,3.8,180.1,105.7,26.2,63.6,短射
PP,1.5,258.6,82.0,29.0,78.4,翘曲
PP,3.1,187.4,132.1,27.4,51.2,飞边
PC,3.7,216.7,114.8,19.5,50.3,短射
PC,3.4,186.0,96.8,15.9,77.9,短射
PP,1.7,248.1,132.6,14.8,69.9,飞边
ABS,1.8,201.8,47.5,10.1,66.8,短射
PC,1.1,188.5,85.0,12.9,27.2,短射
ABS,3.9,196.6,70.8,11.6,27.2,短射
PP,3.4,204.3,110.5,20.1,32.9,短射
ABS,1.3,236.9,136.8,14.9,22.9,飞边
ABS,1.6,259.3,43.1,15.1,47.1,无
PC,2.6,187.6,50.2,24.8,27.3,短射
PP,3.5,258.6,53.1,25.6,42.3,无
PC,3.8,186.7,98.6,27.9,24.5,短射
PP,1.4,231.7,120.9,7.3,70.8,飞边
ABS,1.2,255.4,45.1,28.1,46.0,无
PC,2.1,182.4,108.3,9.3,32.9,短射
PP,1.7,215.7,54.9,20.4,57.0,无
PC,1.7,213.0,95.1,6.5,36.8,缩水
PP,2.1,231.4,119.7,11.2,79.6,飞边
PC,3.3,259.2,118.2,14.0,52.7,飞边
ABS,1.9,225.3,72.2,11.8,21.6,短射
PC,1.5,251.7,117.9,6.5,79.5,飞边
PC,1.9,226.7,63.3,9.0,34.9,缩水
PP,1.7,245.3,131.7,6.4,79.8,飞边
PP,2.6,258.6,78.8,28.4,79.5,翘曲
PP,1.4,227.4,120.6,22.4,74.8,飞边
PP,3.1,208.1,96.8,8.6,76.9,翘曲
ABS,2.5,194.0,43.8,6.4,56.1,短射
PP,2.5,180.1,131.8,10.0,27.8,短射
